head_shoulder_z_diff,head_shoulder_y_diff,posture_angle,head_tilt_z_diff,label
-0.49274523336702286,-1.1531934137668312,-1.9746029859724927,-0.3461623310393064,0.0
-0.4159443155531057,-1.1500134344295092,-1.9178440963848054,-0.3497995141901147,0.0
-0.3702751310689317,-1.1538711154573542,-1.8813138006998793,-0.34205804430816955,0.0
-0.4175993221957659,-1.153892407800422,-1.918037236192201,-0.35604610670647774,0.0
-0.2404531938695924,-1.151335358030638,-1.7766841799736566,-0.27547886634654933,0.0
-0.4624350564633035,-1.1586782442201555,-1.9505314917083039,-0.36264122552150024,0.0
-0.3550705060653783,-1.1542365275159103,-1.8692325789994482,-0.33574769302527663,0.0
-0.36489652748287693,-1.1428436043237964,-1.87985349568519,-0.32146201003809194,0.0
-0.27953618991972273,-1.1490378017933611,-1.8094389338560777,-0.2812365985225881,0.0
-0.37692573483663405,-1.1391827425265115,-1.8903316797299203,-0.3196909339991633,0.0
-0.4200986866653698,-1.1326181829060284,-1.9259758693916562,-0.3286226377309256,0.0
-0.39651297159710847,-1.1179960396229776,-1.9116201190717625,-0.32034364536531296,0.0
-0.4385050124629758,-1.1331759059577704,-1.9400196742801599,-0.36499013062449726,0.0
-0.28647470047581636,-1.1370378981975262,-1.8176077880009796,-0.2936736374816726,0.0
-0.46007477808242947,-1.1213390448519918,-1.9601422427513875,-0.3443055502083166,0.0
-0.3293286842418067,-1.12473279864959,-1.8556402649250896,-0.3001543754605152,0.0
-0.3770080206523253,-1.1196276561132152,-1.8955973905685948,-0.3188329481643877,0.0
-0.43748910009643693,-1.122349999679717,-1.9424765267681148,-0.34627414694228126,0.0
-0.5599965694276465,-1.1142583051811907,-2.0365005248161143,-0.36620307619073206,0.0
-0.5707868323965216,-1.1162668695824534,-2.043471125923474,-0.3792653874896155,0.0
-0.5364567669590607,-1.0990229864885188,-2.0248960721968663,-0.3630993903244861,0.0
-0.5285384467250345,-1.1115659722329023,-2.0146443411822226,-0.36549525925425597,0.0
-0.3340456009983544,-1.1272372888786961,-1.858892033756128,-0.3168346654499089,0.0
-0.5383270009886411,-1.1539902574423446,-2.007279888224801,-0.3885772525756087,0.0
-0.5734473994652014,-1.1650286112729031,-2.028198525874961,-0.3925248189896769,0.0
-0.5547815130176345,-1.1553725524773424,-2.018458872420658,-0.36950437005841136,0.0
-0.5901020834646871,-1.175548449536196,-2.036026866271423,-0.39614352941564607,0.0
-0.6010920558247925,-1.1750636866496316,-2.043633242882816,-0.40247145958109154,0.0
-0.5667680437938255,-1.176963827848309,-2.019576060218489,-0.3914384768300968,0.0
-0.6005523353445475,-1.1770720617321908,-2.042577454530201,-0.40519580213532613,0.0
